Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM,outlier_naive_bayes
,2012.0,,,,,,,,170.0,0.0,32.51,17.5,27.0,357.0,0.693397976,13.294252,41.655353,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,32.51,15.2,28.0,358.0,0.677353975,12.906341,41.035709,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,32.51,16.9,29.0,359.0,0.66826405,12.348502,40.419408,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,32.51,19.0,30.0,360.0,0.663914323,11.760223,39.728069,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,18.03,19.3,31.0,361.0,0.648967938,11.133487,38.862119,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,23.6,32.0,362.0,0.638687267,10.390381,37.884976,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,23.8,33.0,363.0,0.623960287,9.247829,35.723892,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,23.7,34.0,0.0,0.645484683,14.401476,39.827859,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,19.6,35.0,1.0,0.640528534,17.186217,41.087404,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,15.6,36.0,2.0,0.630744582,19.708369,42.428295,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,19.2,37.0,3.0,0.625008873,,44.86442,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,22.6,38.0,4.0,0.613619536,,48.047538,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,24.4,39.0,5.0,0.601645874,,51.836638,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.76,0.76,22.4,40.0,6.0,0.587588752,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.04,2.8,28.9,42.0,8.0,0.573713743,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.02,2.8,27.8,43.0,9.0,0.552430752,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.52,4.32,20.8,45.0,11.0,0.5191741,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.52,4.32,20.9,46.0,12.0,0.505723399,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,3.56,23.6,47.0,13.0,0.488008504,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,2.54,19.1,48.0,14.0,0.471588533,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,1.52,19.4,49.0,15.0,0.465274023,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,1.52,22.1,50.0,16.0,0.446167622,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,1.52,27.1,51.0,17.0,0.436768616,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,25.4,52.0,18.0,0.422242395,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,26.4,55.0,21.0,0.40742919,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,28.7,56.0,22.0,0.401899764,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,30.4,57.0,23.0,0.386871299,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,30.4,58.0,24.0,0.384396676,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,30.7,59.0,25.0,0.372140174,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,30.1,60.0,26.0,0.367790446,21.076082,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,24.6,61.0,27.0,0.373680051,,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.1,6.1,23.8,62.0,28.0,0.35981264,19.778772,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.1,6.1,23.1,63.0,29.0,0.355347686,19.076381,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.1,23.3,64.0,30.0,0.346845538,17.945985,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.1,23.8,65.0,31.0,0.345059418,17.045083,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.1,23.9,66.0,32.0,0.339225055,16.36203,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.1,25.2,67.0,33.0,0.341788663,17.27676,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.86,12.96,25.0,68.0,34.0,0.393984401,16.544929,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.86,6.86,27.1,69.0,35.0,0.436847424,15.677225,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.86,29.8,70.0,36.0,0.409478997,14.29002,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.86,26.9,71.0,37.0,0.387937336,13.400606,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.86,22.8,72.0,38.0,0.42307107,13.790962,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,23.62,21.8,73.0,39.0,0.484536476,13.843244,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,23.62,21.3,74.0,40.0,0.440216832,13.34679,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,16.76,24.7,75.0,41.0,0.411412704,12.409279,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,16.76,28.3,76.0,42.0,0.38211738,11.295314,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,17.01,26.2,77.0,43.0,0.361807803,10.591088,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,17.01,23.8,78.0,44.0,0.340608964,9.801931,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,17.01,25.2,79.0,45.0,0.387062478,9.914668,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,9.14,9.39,21.2,80.0,46.0,0.407422465,9.461003,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,10.41,10.66,21.8,81.0,47.0,0.38869963,9.094169,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,10.66,21.5,82.0,48.0,0.364628103,8.401561,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,10.66,23.7,83.0,49.0,0.347272605,7.660122,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,10.41,23.7,84.0,50.0,0.345972156,7.330356,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,5.08,15.49,22.2,85.0,51.0,0.339090539,6.702382,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,5.08,15.49,24.4,86.0,52.0,0.330718763,6.072905,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,6.35,26.7,87.0,53.0,0.330718763,5.515403,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,5.08,26.1,88.0,54.0,0.32226318,5.22251,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,5.59,23.2,89.0,55.0,0.317268062,5.103944,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,5.59,20.0,90.0,56.0,0.314298792,4.780167,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,5.59,22.3,91.0,57.0,0.315481942,4.602496,,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,23.8,92.0,58.0,0.313997307,4.471187,51.222617,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.51,18.8,93.0,59.0,0.316958981,4.566926,49.496215,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,10.92,11.43,14.8,94.0,60.0,0.459848262,4.691258,48.759213,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,42.42,18.5,95.0,61.0,0.559802849,4.826789,47.776414,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,42.42,18.7,96.0,62.0,0.570347876,4.458847,43.595425,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,42.42,17.6,97.0,63.0,0.544994546,3.976694,38.553481,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.29,44.71,19.2,98.0,64.0,0.544281874,3.912692,36.49522,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.56,45.98,20.8,99.0,65.0,0.528451752,3.518517,32.748215,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,45.98,19.8,100.0,66.0,0.544082494,3.248449,29.511958,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,12.7,47.76,17.8,101.0,67.0,0.575951093,2.975656,26.84709,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,12.7,16.77,16.0,102.0,68.0,0.539926622,2.728983,24.668371,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,16.26,17.1,103.0,69.0,0.515179714,2.554784,22.847583,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,16.26,17.4,104.0,70.0,0.486678451,2.40298,21.317056,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,13.97,18.1,105.0,71.0,0.459256161,2.275438,20.029122,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,12.7,18.4,106.0,72.0,0.433236425,2.22506,19.042715,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,12.7,20.3,107.0,73.0,0.419086173,2.246492,18.308645,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,23.9,109.0,75.0,0.382398748,2.314865,17.222682,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,23.2,110.0,76.0,0.368646563,2.389901,16.766732,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,5.33,5.33,23.1,111.0,77.0,0.429048972,2.696397,16.879681,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,10.92,10.92,20.3,112.0,78.0,0.440259552,2.930706,17.013719,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,5.59,10.92,19.8,113.0,79.0,0.41797967,3.148032,17.169643,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,10.92,20.1,114.0,80.0,0.397187874,3.345252,17.335354,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,10.92,25.2,115.0,81.0,0.377899359,3.552984,17.570053,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,10.92,22.3,116.0,82.0,0.36146834,3.752785,17.761226,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.03,12.95,22.9,117.0,83.0,0.356020995,3.924931,17.985827,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.03,7.62,24.9,118.0,84.0,0.350886184,4.091495,18.257964,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,2.03,23.8,119.0,85.0,0.411188465,4.464134,18.28303,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,18.54,22.8,120.0,86.0,0.436199664,4.752839,18.372618,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,18.54,22.4,121.0,87.0,0.422125969,4.968398,18.521935,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,18.54,18.0,122.0,88.0,0.40845034,5.139279,18.644169,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.02,19.56,15.5,123.0,89.0,0.393909618,5.27307,18.752868,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.78,18.29,15.6,124.0,90.0,0.402783591,5.410005,18.856716,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.05,20.58,15.2,125.0,91.0,0.384488515,5.517488,18.99029,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.29,20.58,18.3,126.0,92.0,0.37695771,5.617673,19.161859,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,4.07,20.7,127.0,93.0,0.367346897,5.715341,19.367416,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,4.07,20.1,128.0,94.0,0.362201037,5.844107,19.5131,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.3,7.37,15.5,129.0,95.0,0.409514119,5.974781,19.612037,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,9.65,12.7,14.6,130.0,96.0,0.408624857,6.068557,19.747986,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.35,11.94,16.3,131.0,97.0,0.397935071,6.148889,19.902954,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.65,17.0,132.0,98.0,0.391293528,6.221684,20.06843,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.65,13.1,133.0,99.0,0.384473322,6.312472,20.165399,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,4.06,13.71,12.5,134.0,100.0,0.379137752,6.376309,20.280086,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,4.06,13.71,15.3,135.0,101.0,0.381199115,6.437835,20.409432,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.76,11.17,11.8,136.0,102.0,0.392389169,6.529251,20.491463,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.75,10.81,10.1,137.0,103.0,0.470925758,6.66404,20.504918,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,25.29,9.2,138.0,104.0,0.501738079,6.771374,20.535836,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,14.99,25.8,11.2,139.0,105.0,0.492164555,6.856625,20.603776,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.76,26.05,14.5,140.0,106.0,0.484935235,6.928301,20.703407,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,21.99,16.6,141.0,107.0,0.477110541,6.991098,20.83205,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,21.99,13.2,142.0,108.0,0.470070932,7.045136,20.952025,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,21.23,14.4,143.0,109.0,0.464716716,7.091013,21.085376,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,15.24,13.5,144.0,110.0,0.45798964,7.131828,21.224576,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.76,12.6,145.0,111.0,0.44679761,7.170223,21.357642,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.25,11.1,146.0,112.0,0.439873227,7.206853,21.473481,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,15.2,147.0,113.0,0.435720806,7.236358,21.62489,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,0.51,14.4,148.0,114.0,0.431851226,7.268796,21.765958,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.78,1.78,17.4,149.0,115.0,0.442020123,7.365871,21.864431,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,8.38,8.89,9.9,150.0,116.0,0.500949543,7.426716,21.939968,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,7.11,8.89,6.1,151.0,117.0,0.484012828,7.477542,22.002469,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,9.4,5.3,152.0,118.0,0.483019388,7.523509,22.057741,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.53,10.42,5.7,153.0,119.0,0.479149808,7.560236,22.128317,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.02,10.42,10.1,154.0,120.0,0.474844919,7.59275,22.221587,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,10.16,6.4,155.0,121.0,0.495463529,7.643634,22.273427,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.09,14.73,8.4,156.0,122.0,0.49320693,7.686467,22.34786,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.09,7.87,5.6,157.0,123.0,0.499137874,7.730979,22.412099,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.79,10.41,6.5,158.0,124.0,0.616367694,7.848752,22.402573,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,45.46,17.5,159.0,125.0,0.674014737,8.00859,22.381266,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,,8.4,160.0,126.0,0.716760187,8.118527,22.372495,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,,7.9,161.0,127.0,0.69171939,8.235761,22.359578,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,,16.1,162.0,128.0,0.677684364,8.375355,22.371155,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,33.78,13.2,167.0,133.0,0.697259864,8.921322,22.275714,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,53.34,16.4,168.0,134.0,0.724617243,9.074568,22.243736,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,54.86,19.2,169.0,135.0,0.710323547,9.246452,22.205967,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.52,51.56,19.7,170.0,136.0,0.701343324,9.326587,22.244741,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,39.62,7.4,171.0,137.0,0.710241466,9.38194,22.261104,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,4.32,25.4,5.2,172.0,138.0,0.698160174,9.414965,22.296368,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,2.0,184.0,150.0,0.654239977,9.47141,22.921844,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,6.5,185.0,151.0,0.65186608,9.45084,23.005519,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,13.7,186.0,152.0,0.622918509,9.403693,23.14425,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,16.1,187.0,153.0,0.617876827,9.339991,23.315986,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,5.0,188.0,154.0,0.676546101,9.357926,23.36643,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,9.91,9.91,-0.7,189.0,155.0,0.715848828,9.368523,23.40638,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,9.91,9.91,-0.9,190.0,156.0,0.699626164,9.374018,23.450477,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.91,0.1,191.0,157.0,0.694677612,9.371532,23.505893,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.91,2.3,192.0,158.0,0.685985753,9.363112,23.573134,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.91,3.7,193.0,159.0,0.682220351,9.350561,23.646739,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.91,5.6,194.0,160.0,0.679753324,9.3306,23.734547,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.91,6.4,195.0,161.0,0.675202838,9.30862,23.824198,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,7.0,196.0,162.0,0.673074539,9.286617,23.913298,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,0.25,5.1,197.0,163.0,0.673718203,9.265383,24.000824,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,0.25,10.1,198.0,164.0,0.672233568,9.232437,24.113029,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,1.52,3.3,199.0,165.0,0.678949595,9.203736,24.192673,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.54,2.79,-1.4,200.0,166.0,0.679157951,9.187064,24.248366,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,2.79,-0.7,201.0,167.0,0.672724763,9.169499,24.305035,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,2.79,-0.4,202.0,168.0,0.66797697,9.15215,24.360762,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,2.79,-1.8,203.0,169.0,0.661752137,9.136136,24.413227,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,2.54,0.2,204.0,170.0,0.656312389,9.115526,24.47376,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,2.54,2.9,205.0,171.0,0.652558035,9.08821,24.545286,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,1.27,3.7,206.0,172.0,0.652558035,9.056897,24.615465,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,0.0,6.3,207.0,173.0,0.66980551,9.012312,24.706353,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,0.25,11.3,208.0,174.0,0.705884142,9.005887,24.754537,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,10.41,10.41,11.8,209.0,175.0,0.705463979,8.986632,24.819735,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,10.16,10.41,10.4,210.0,176.0,0.708329071,8.959334,24.894188,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,11.68,0.1,211.0,177.0,0.706256659,8.939775,24.949796,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,11.68,0.5,212.0,178.0,0.694290594,8.920963,25.004028,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,11.68,5.0,213.0,179.0,0.705698528,8.899937,25.066166,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.03,13.71,2.0,214.0,180.0,0.723379633,8.893425,25.109865,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,6.35,17.78,1.0,215.0,181.0,0.724350976,8.894826,25.143994,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,7.11,10.41,1.6,216.0,182.0,0.732864172,8.893819,25.17997,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.04,10.66,-1.5,217.0,183.0,0.716342096,8.890042,25.215786,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.25,9.39,0.4,218.0,184.0,0.701996609,8.878474,25.262781,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.39,2.2,219.0,185.0,0.69467416,8.860378,25.318804,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,9.39,2.6,220.0,186.0,0.687563518,8.837667,25.381016,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,7.36,3.8,221.0,187.0,0.68618306,8.816816,25.441489,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,2.03,5.07,7.3,222.0,188.0,0.726244726,8.798455,25.50208,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,4.06,4.31,3.6,223.0,189.0,0.720291685,8.782189,25.556584,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,4.57,2.3,225.0,191.0,0.716173055,8.747301,25.666207,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.51,4.57,4.1,226.0,192.0,0.76661202,8.779305,25.67338,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,24.89,0.4,227.0,193.0,0.748904722,8.800966,25.687362,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,,26.41,-1.1,228.0,194.0,0.733865208,8.813887,25.708017,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.52,24.38,-2.9,229.0,195.0,0.695459292,8.821293,25.731684,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.0,22.35,-3.8,230.0,196.0,0.630848073,8.82552,25.75682,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.05,24.89,-4.7,233.0,199.0,0.587243861,8.820543,25.846698,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,3.05,4.57,-4.0,234.0,200.0,0.596627674,8.816173,25.878115,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.76,3.81,-3.3,235.0,201.0,0.601178161,8.809687,25.912914,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,1.27,4.32,-4.7,236.0,202.0,0.608206722,8.80343,25.946064,62.5,637.5,1.174072,
,2012.0,,,,,,,,170.0,0.76,4.57,-1.9,237.0,203.0,0.612653031,8.794716,25.985065,62.5,637.5,1.174072,
,2013.0,,,,,,,,170.0,0.0,4.57,-5.5,239.0,205.0,0.609095984,8.780118,26.052589,62.5,637.5,1.174072,
,2013.0,,,,,,,,170.0,0.0,1.52,-5.4,240.0,206.0,0.59584259,8.774026,26.083461,62.5,637.5,1.174072,
